"Table 4c. Reported Voting and Registration of the Total Voting-Age Population, by Age, for States: November 2024",,,,,,,,,,,,,
"(Numbers in thousands, Population 18 and Over)",,,,,,,,,,,,,
Characteristics,,Total population,Total citizen population,Registered,,,,,Voted,,,,
,,,,Total registered,"Percent registered
(Total)",Margin of error (+/-)1,"Percent registered
(Citizen)",Margin of error (+/-)1,Total voted,"Percent voted
(Total)",Margin of error (+/-)1,"Percent voted
(Citizen)",Margin of error (+/-)1
,65 years and over,"1,231","1,165",931,75.6,4.7,79.9,4.5,877,71.2,4.6,75.3,4.6
MICHIGAN,Total,"7,850","7,534","6,090",77.6,2.7,80.8,2.5,"5,444",69.4,2.9,72.3,2.9
,18 to 24 years,868,832,598,68.9,6,71.8,5.7,483,55.7,7.1,58,6.9
,25 to 34 years,"1,297","1,255",979,75.5,4.4,78,4.4,829,63.9,6.1,66,6.1
,35 to 44 years,"1,252","1,140",905,72.3,6.7,79.5,7.1,791,63.1,5.8,69.4,6
,45 to 64 years,"2,623","2,531","2,107",80.3,4,83.2,3.4,"1,924",73.3,4.4,76,4
,65 years and over,"1,810","1,775","1,501",82.9,3.8,84.6,3.7,"1,418",78.3,4.5,79.9,4.4
MINNESOTA,Total,"4,486","4,208","3,519",78.4,2.5,83.6,2.3,"3,193",71.2,2.9,75.9,2.9
,18 to 24 years,529,475,333,63,8.1,70.1,8.2,315,59.6,8.3,66.3,8
,25 to 34 years,714,654,495,69.3,5.9,75.7,5.5,412,57.7,5.6,63,5.5
,35 to 44 years,842,773,654,77.7,5.5,84.6,4.5,569,67.6,5.6,73.6,4.9
,45 to 64 years,"1,312","1,233","1,092",83.2,4.1,88.5,3.2,993,75.7,5.5,80.5,5.4
,65 years and over,"1,089","1,073",945,86.8,4,88.1,3.7,904,83,4.5,84.3,4.2
MISSISSIPPI,Total,"2,201","2,162","1,751",79.5,2.5,81,2.2,"1,490",67.7,3,68.9,2.8
,18 to 24 years,236,230,145,61.7,6.4,63.2,6.2,112,47.4,7.9,48.6,7.6
,25 to 34 years,409,396,309,75.5,6.1,77.8,6.4,230,56.3,7.7,58,8
,35 to 44 years,336,331,270,80.6,8,81.6,7.5,231,68.8,8.4,69.7,8.1
,45 to 64 years,712,699,599,84.1,3.1,85.7,2.9,534,75,2.7,76.4,2.7
,65 years and over,509,505,427,83.9,4.5,84.6,4.2,383,75.2,4.9,75.8,4.7
MISSOURI,Total,"4,790","4,664","3,707",77.4,2.8,79.5,2.7,"3,240",67.6,3.2,69.5,3.3
,18 to 24 years,523,512,283,54.2,8.1,55.3,8,215,41,8.3,41.9,8.4
,25 to 34 years,861,822,587,68.2,6.1,71.5,6,493,57.3,7.1,60,7.1
,35 to 44 years,780,745,627,80.4,4.3,84.2,4.3,540,69.3,4.5,72.5,5
,45 to 64 years,"1,449","1,416","1,198",82.6,4.6,84.6,4.4,"1,071",73.9,4.7,75.6,4.7
,65 years and over,"1,176","1,170","1,012",86,3.8,86.5,3.1,921,78.3,4.8,78.7,4
MONTANA,Total,896,881,651,72.6,2.5,73.8,2.5,610,68,2.6,69.2,2.5
,18 to 24 years,103,102,59,57.3,8.4,58.2,8.4,47,45.9,9.3,46.7,9.4
,25 to 34 years,136,132,88,65.2,6.8,67.1,6.5,82,60.7,7.4,62.5,7
,35 to 44 years,155,151,112,72.3,6.1,74.5,6.2,102,65.7,6.9,67.6,6.9
,45 to 64 years,258,255,195,75.6,3.5,76.5,3.6,185,71.5,3.6,72.4,3.7
,65 years and over,243,242,196,80.3,3.6,80.8,3.6,193,79.4,3.5,79.9,3.5
NEBRASKA,Total,"1,488","1,377","1,016",68.2,4.7,73.8,4,928,62.4,4.6,67.4,4
,18 to 24 years,180,171,90,49.7,11.4,52.5,9.6,70,39,10.5,41.3,9.5
,25 to 34 years,260,228,154,59.4,8.4,67.7,7.7,135,51.9,8.8,59,8.9
,35 to 44 years,261,224,187,71.9,6.6,83.8,6.2,175,67.2,6.9,78.4,6.3
,45 to 64 years,473,448,340,71.8,6.7,75.9,6.5,316,66.8,6.6,70.6,6.5
,65 years and over,314,307,244,77.8,4.6,79.7,4.5,231,73.6,5.1,75.4,4.6
NEVADA,Total,"2,506","2,230","1,640",65.4,3,73.5,2.6,"1,493",59.6,3.1,66.9,2.9
,18 to 24 years,248,233,124,49.9,12.2,53.2,12.2,113,45.5,12.2,48.5,12.2
,25 to 34 years,442,407,274,62.1,7.2,67.5,7.1,226,51.1,8.8,55.4,9.1
,35 to 44 years,451,360,274,60.8,6.8,76.1,6.7,235,52.3,7.3,65.4,7.9
,45 to 64 years,767,658,501,65.2,5.1,76,4.8,464,60.5,4.9,70.6,4.9
